"Id","baseMean","log2foldchange.LLO.vs.Neg","BH.adjusted.p.values","LLO1_raw","LLO2_raw","LLO3_raw","Neg1_raw","Neg2_raw","Neg3_raw","LLO1_norm","LLO2_norm","LLO3_norm","Neg1_norm","Neg2_norm","Neg3_norm"
"34960","ENSG00000260966",50.9940564443463,1.05130735714029,0.0406024785282253,31,16,20,3,6,6,29.9059662158121,14.8218420294573,20.552746097342,3.28018200098402,6.64038635135774,5.16585380969941
"35139","ENSG00000270210",50.9580437858485,1.74963031038491,5.30926850811776e-05,82,64,37,110,168,108,79.106104183761,59.2873681178293,38.0225802800826,120.273340036081,185.930817838017,92.9853685745894
"35177","ENSG00000242689",50.2838323233959,1.10021767023504,0.02422818743031,164,184,190,12,44,71,158.212208367522,170.451183338759,195.251087924749,13.1207280039361,48.6961665766234,61.1292700814431
"35428","ENSG00000234776",50.0585463561356,1.19001126859557,0.011647588875452,19,16,10,0,4,1,18.32946316453,14.8218420294573,10.276373048671,0,4.42692423423849,0.860975634949902
"35462","ENSG00000130300",49.681094934441,1.04400359716932,0.0325204706435021,313,302,309,73,101,117,301.953787920942,279.762268306007,317.539927203933,79.8177620239446,111.779836914522,100.734149289139
"35558","ENSG00000273008",49.3029125993807,-2.09163989717508,2.50883385928517e-07,40,46,27,14,10,16,38.5883435042737,42.6127958346898,27.7462072314116,15.3075160045921,11.0673105855962,13.7756101591984
"35874","ENSG00000085465",49.0760972505181,2.35282872532155,3.39536815098868e-08,159,132,120,43,46,51,153.388665429488,122.280196743023,123.316476584052,47.0159420141043,50.9096286937426,43.909757382445
"36418","ENSG00000163121",48.5685218960909,-1.09362819312162,0.0254214301025656,69,67,75,22,37,36,66.5648925448721,62.0664634983525,77.0727978650323,24.0546680072162,40.949049166706,30.9951228581965
"36698","ENSG00000205853",47.4267005357764,2.21801245129919,1.39523858202178e-06,51,65,30,6,12,23,49.2001379679489,60.2137332446704,30.8291191460129,6.56036400196805,13.2807727027155,19.8024396038477
"37281","ENSG00000213033",46.4855545944654,1.91415191899691,2.86062739570108e-05,18,22,20,4,4,2,17.3647545769232,20.3800327905038,20.552746097342,4.37357600131203,4.42692423423849,1.7219512698998
"37357","ENSG00000272973",46.314974766084,-1.12963347345133,0.0247554019294637,53,47,47,81,92,116,51.1295551431626,43.5391609615309,48.2989533287536,88.5649140265686,101.819257387485,99.8731736541886
"37368","ENSG00000259940",46.2141039273913,1.13202952777244,0.0184491802518844,26,19,58,7,9,12,25.0824232777779,17.6009374099806,59.6029636822917,7.65375800229605,9.9605795270366,10.3317076193988
"37499","ENSG00000272343",45.793233769067,1.42927496889152,0.00247152247431156,42,23,23,3,6,12,40.5177606794874,21.3063979173449,23.6356580119432,3.28018200098402,6.64038635135774,10.3317076193988
"37738","ENSG00000285480",45.7113617666537,1.81642111601769,7.2501370269554e-05,53,44,67,14,28,17,51.1295551431626,40.7600655810076,68.8516994260955,15.3075160045921,30.9884696396694,14.6365857941483
"37817","ENSG00000219607",45.460600862554,-1.05870509349846,0.0343249740948197,297,328,258,100,105,155,286.518450519232,303.847761603875,265.130424655711,109.339400032801,116.20676114876,133.451223417235
"38511","ENSG00000198221",45.0926193571219,-1.16271120175601,0.0391341387080347,270,363,278,620,710,944,260.471318653847,336.270541043313,285.683170753053,677.904280203365,785.779051577332,812.760999392708
"38966","ENSG00000154479",44.9670321769492,2.68748083512114,1.26317948384478e-08,39,38,43,6,16,17,37.6236349166668,35.2018748199611,44.1884041092852,6.56036400196805,17.707696936954,14.6365857941483
"38974","ENSG00000255150",44.8767313013245,2.90648600323891,1.40901237884931e-09,20,25,18,1,5,8,19.2941717521368,23.1591281710271,18.4974714876078,1.09339400032801,5.53365529279811,6.88780507959922
"39747","ENSG00000273428",44.5865050184204,1.44509730177699,0.00368306329086837,15152,19100,14001,3484,8684,10452,14617.2645194189,17693.5739226647,14387.9499054442,3809.38469714278,9610.85251253176,8998.91733649638
"40876","ENSG00000275549",44.1734533153297,-1.38744616609867,0.00523491494167351,58,67,51,15,16,41,55.9530980811968,62.0664634983525,52.409502548222,16.4009100049201,17.707696936954,35.300001032946
"42032","ENSG00000278192",43.4663270298759,1.57399658764255,0.00839904819617082,16,9,22,0,2,5,15.4353374017095,8.33728614156974,22.6080207070762,0,2.21346211711925,4.30487817474951
"42113","ENSG00000287236",43.3762306967457,1.26570333970281,0.0100496168770728,40,33,62,6,6,6,38.5883435042737,30.5700491857557,63.7135129017601,6.56036400196805,6.64038635135774,5.16585380969941
"42121","ENSG00000285752",42.102825341178,1.14291695707138,0.0375867558103428,47,56,64,5,12,26,45.3413036175216,51.8764471031006,65.7687875114943,5.46697000164004,13.2807727027155,22.3853665086975
"42242","ENSG00000266993",42.0838713602153,2.45626399754839,2.8596895850208e-07,219,210,272,72,85,155,211.271180685898,194.536676636627,279.517346923851,78.7243680236165,94.0721399775679,133.451223417235
"42530","ENSG00000179921",41.9437401317459,1.58470218796136,0.00105395943443964,73,90,82,3,12,17,70.4237268952995,83.3728614156974,84.266258999102,3.28018200098402,13.2807727027155,14.6365857941483
"42858","ENSG00000228360",41.9289407900403,3.28360091181459,1.43335180070832e-08,205,195,298,70,85,106,197.765260459403,180.641199734011,306.235916850395,76.5375800229605,94.0721399775679,91.2634173046896
"43013","ENSG00000275793",41.3312343725533,-1.27554791006217,0.019573019342941,12,19,14,2,0,1,11.5765030512821,17.6009374099806,14.3869222681394,2.18678800065602,0,0.860975634949902
"43264","ENSG00000229719",41.050394121986,1.43191819333888,0.00327561206229863,51,51,56,7,7,6,49.2001379679489,47.2446214688952,57.5476890725575,7.65375800229605,7.74711740991736,5.16585380969941
"43310","ENSG00000172232",41.0139209022326,5.5807667171574,3.26719328378371e-11,179,185,197,438,321,372,172.682837181625,171.3775484656,202.444549058818,478.906572143667,355.260669797639,320.282936201364
"43396","ENSG00000179674",41.0131786894791,2.9323318104486,1.60660624979508e-09,158,203,137,205,353,433,152.423956841881,188.05212074874,140.786310766792,224.145770067242,390.676063671547,372.802449933308
"43580","ENSG00000261888",40.7867349403389,1.88850704971136,0.000195117653792993,29,24,52,5,3,5,27.9765490405984,22.232763044186,53.4371398530891,5.46697000164004,3.32019317567887,4.30487817474951
"43723","ENSG00000236754",40.6069873446921,1.70374396427432,0.000335106957491361,106,161,110,28,15,44,102.259110286325,149.144785421414,113.040103535381,30.6150320091842,16.6009658783943,37.8829279377957
"43892","ENSG00000258469",40.5461568172262,2.38164790925347,2.86598660250894e-06,29,34,33,68,62,103,27.9765490405984,31.4964143125968,33.9120310606142,74.3507920223045,68.6173256306966,88.6804903998399
"44228","ENSG00000253190",39.9729453504319,1.27528758761721,0.0234247921879467,449,412,686,12,26,39,433.154155835472,381.662432258526,704.959191138829,13.1207280039361,28.7750075225502,33.5780497630462
"44254","ENSG00000261335",39.53385662795,-1.14074272684817,0.0316064893079354,51,79,79,10,19,9,49.2001379679489,73.1828450204455,81.1833470845007,10.9339400032801,21.0278901126328,7.74878071454912
"44355","ENSG00000167874",38.8803972552735,1.3260973928937,0.031449812464585,1,1,2,10,11,14,0.964708587606842,0.926365126841082,2.0552746097342,10.9339400032801,12.1740416441558,12.0536588892986
"44458","ENSG00000263893",38.5563241647955,-1.6066103251951,0.00208298333366324,56,64,77,149,110,199,54.0236809059832,59.2873681178293,79.1280724747665,162.915706048873,121.740416441558,171.334151355031
"44917","ENSG00000269961",37.9841447312432,-1.27685400788997,0.0290311654754014,99,120,124,315,192,332,95.5061501730774,111.16381522093,127.42702580352,344.419110103322,212.492363243448,285.843910803368
"45097","ENSG00000277007",37.5703351625836,1.48828800849221,0.0164553310711841,19,27,19,2,1,3,18.32946316453,25.0118584247092,19.5251087924749,2.18678800065602,1.10673105855962,2.58292690484971
"45480","ENSG00000260698",37.4832321137965,2.77719963598495,5.28080658912486e-08,72,65,59,25,29,32,69.4590183076926,60.2137332446704,60.6306009871588,27.3348500082002,32.0952006982291,27.5512203183969
"45601","ENSG00000171786",37.2765399810358,2.71913764827909,3.254827962549e-08,93,134,77,31,39,34,89.7178986474363,124.132926996705,79.1280724747665,33.8952140101682,43.1625112838253,29.2731715882967
"45711","ENSG00000263280",37.2355494017554,-1.20219740279208,0.028499397740631,365,471,417,146,153,234,352.118634476497,436.31797474215,428.52475612958,159.635524047889,169.329851959622,201.468298578277
"45726","ENSG00000248476",36.9456485981126,1.40977351802904,0.0172895612022784,377,410,283,815,581,815,363.695137527779,379.809702004844,290.821357277389,891.116110267326,643.010745023141,701.69514248417
"45757","ENSG00000287089",36.2306473533726,2.62585932368623,2.91554270101498e-05,138,183,105,27,49,47,133.129785089744,169.524818211918,107.901917011045,29.5216380088562,54.2298218694215,40.4658548426454
"45770","ENSG00000136383",36.0088334725012,1.32702752564218,0.0165640092807215,55,68,69,111,105,159,53.0589723183763,62.9928286251936,70.9069740358297,121.366734036409,116.20676114876,136.895125957034
"45790","ENSG00000129437",35.9279736949672,1.41350197068839,0.0228291111857487,81,97,120,7,14,17,78.1413955961542,89.857417303585,123.316476584052,7.65375800229605,15.4942348198347,14.6365857941483
"45984","ENSG00000272263",35.5553893062457,1.45412971881424,0.00807352882570986,37,41,66,5,3,6,35.6942177414532,37.9809702004844,67.8240621212285,5.46697000164004,3.32019317567887,5.16585380969941
"46033","ENSG00000286379",35.4935798981104,3.3345947165354,2.1554024404997e-09,52,74,76,6,7,16,50.1648465555558,68.5510193862401,78.1004351698994,6.56036400196805,7.74711740991736,13.7756101591984
"46120","ENSG00000138829",35.1497681677447,4.46383459821429,1.38489926618392e-10,70,91,67,183,120,162,67.5296011324789,84.2992265425385,68.8516994260955,200.091102060025,132.807727027155,139.478052861884
"46208","ENSG00000268947",34.5062669297833,1.53865430084373,0.0140201922080119,36,48,30,4,11,12,34.7295091538463,44.465526088372,30.8291191460129,4.37357600131203,12.1740416441558,10.3317076193988
"46220","ENSG00000254676",34.0199412408616,1.95554855142232,0.000775794015590944,74,61,77,23,27,51,71.3884354829063,56.508272737306,79.1280724747665,25.1480620075442,29.8817385811098,43.909757382445
"46243","ENSG00000188993",33.7886017384041,1.75384289478251,0.00187905168282761,42,35,97,2,0,1,40.5177606794874,32.4227794394379,99.6808185721085,2.18678800065602,0,0.860975634949902
"46248","ENSG00000184716",33.7476694137668,1.57523970622466,0.00457484666504135,18,11,19,1,0,7,17.3647545769232,10.1900163952519,19.5251087924749,1.09339400032801,0,6.02682944464931
"46262","ENSG00000177363",33.6943403828488,1.26434179478834,0.0276210054614391,27,16,49,0,0,0,26.0471318653847,14.8218420294573,50.3542279384878,0,0,0
"46296","ENSG00000229686",33.1709652638446,1.32513047535889,0.0203163976087616,159,143,148,32,30,52,153.388665429488,132.470213138275,152.09032112033,34.9886080104962,33.2019317567887,44.7707330173949
"46316","ENSG00000262533",33.0027442116217,2.68827789747676,5.16586212361568e-07,284,330,272,71,131,141,273.977238880343,305.700491857557,279.517346923851,77.6309740232885,144.981768671311,121.397564527936
"46318","ENSG00000280407",32.9994884939964,1.7842780058838,0.00206100507026059,27,26,36,3,6,12,26.0471318653847,24.0854932978681,36.9949429752155,3.28018200098402,6.64038635135774,10.3317076193988
"46344","ENSG00000226979",32.940771508289,2.34404638174022,2.14367616759253e-05,15,21,18,32,52,54,14.4706288141026,19.4536676636627,18.4974714876078,34.9886080104962,57.5500150451004,46.4926842872947
"46489","ENSG00000128242",32.8447319814982,2.14771824219066,4.17248320729822e-05,22,25,29,50,45,68,21.2235889273505,23.1591281710271,29.8014818411458,54.6697000164004,49.802897635183,58.5463431765933
"46504","ENSG00000123901",32.3213533001043,2.50586775161639,4.12717531950632e-05,61,73,58,120,136,172,58.8472238440174,67.624654259399,59.6029636822917,131.207280039361,150.515423964109,148.087809211383
"46657","ENSG00000142319",32.0131796974306,2.04237408457531,0.000777918278393574,370,312,304,132,162,178,356.942177414532,289.025919574418,312.401740679598,144.328008043297,179.290431486659,153.253663021083
"46681","ENSG00000261135",31.9088458847107,-1.40677346760061,0.0162397784668293,15,8,12,1,1,1,14.4706288141026,7.41092101472866,12.3316476584052,1.09339400032801,1.10673105855962,0.860975634949902
"46687","ENSG00000273058",31.9086836622832,1.56251997506988,0.00485209853832321,28,11,9,1,4,0,27.0118404529916,10.1900163952519,9.24873574380388,1.09339400032801,4.42692423423849,0
"46869","ENSG00000274080",31.8725078370449,2.12462092219327,5.30538450669382e-05,85,52,61,21,9,22,82.0002299465816,48.1709865957363,62.685875596893,22.9612740068882,9.9605795270366,18.9414639688978
"46902","ENSG00000229808",31.6278100036786,1.94487206308399,0.00026583961106116,31,41,39,97,57,94,29.9059662158121,37.9809702004844,40.0778548898168,106.059218031817,63.0836703378985,80.9317096852908
"46906","ENSG00000235411",31.502555451976,1.31555011151278,0.0403680448955619,36,29,52,2,0,0,34.7295091538463,26.8645886783914,53.4371398530891,2.18678800065602,0,0
"46949","ENSG00000278356",31.2535390050943,-1.23205459838319,0.0480077760809862,176,147,348,0,3,4,169.788711418804,136.175673645639,357.61778209375,0,3.32019317567887,3.44390253979961
"47024","ENSG00000169194",30.2280837469601,4.86541651741639,3.25097225428773e-09,49,56,70,9,10,7,47.2707207927353,51.8764471031006,71.9346113406968,9.84054600295207,11.0673105855962,6.02682944464931
"47035","ENSG00000243410",29.9810944445272,1.80247843352254,0.00450213175168633,67,63,58,182,110,183,64.6354753696584,58.3610029909882,59.6029636822917,198.997708059697,121.740416441558,157.558541195832
"47100","ENSG00000270638",29.6854909493023,-1.23545042977758,0.0484166193514955,106,109,129,43,45,74,102.259110286325,100.973798825678,132.565212327856,47.0159420141043,49.802897635183,63.7121969862928
"47133","ENSG00000118194",29.3768276893467,1.43141274857039,0.0321758011599925,44,26,41,1,0,2,42.447177854701,24.0854932978681,42.133129499551,1.09339400032801,0,1.7219512698998
"47188","ENSG00000260996",29.2781870544399,5.83151589057772,1.36784984607406e-07,24,27,19,53,37,66,23.1530061025642,25.0118584247092,19.5251087924749,57.9498820173844,40.949049166706,56.8243919066935
"47449","ENSG00000288919",29.2053652376742,2.28965870578487,0.000149282685742,134,103,132,20,14,36,129.270950739317,95.4156080646315,135.648124242457,21.8678800065602,15.4942348198347,30.9951228581965
"47459","ENSG00000256448",29.0931962885524,2.92234075537897,2.28740743417427e-07,14,27,18,69,45,57,13.5059202264958,25.0118584247092,18.4974714876078,75.4441860226325,49.802897635183,49.0756111921444
"47521","ENSG00000286952",28.9578913923536,4.03272007887247,1.28671909531989e-08,13,8,23,3,3,0,12.5412116388889,7.41092101472866,23.6356580119432,3.28018200098402,3.32019317567887,0
"48408","ENSG00000288833",28.6682775657659,-1.93226587563149,0.000591016659688317,341,371,272,1404,1124,3068,328.965628373933,343.681462058042,279.517346923851,1535.12517646052,1243.96570982102,2641.4732480263
"48663","ENSG00000228477",28.4182080343802,1.99964031967205,0.00335159543375355,5,2,5,14,17,22,4.82354293803421,1.85273025368216,5.13818652433549,15.3075160045921,18.8144279955136,18.9414639688978
"48896","ENSG00000105697",28.2312563686848,5.37859345396507,2.9417263475735e-08,82,70,68,5,16,18,79.106104183761,64.8455588788758,69.8793367309626,5.46697000164004,17.707696936954,15.4975614290982
"49225","ENSG00000188996",27.9264559550691,1.55107925517675,0.0372507887279041,29,41,26,3,5,9,27.9765490405984,37.9809702004844,26.7185699265445,3.28018200098402,5.53365529279811,7.74878071454912
"49320","ENSG00000205267",27.6930975566627,4.31548550174597,4.54730492812384e-09,5030,4944,5724,1010,1174,1654,4852.48419566242,4579.94918710231,5882.19593305927,1104.32794033129,1299.302262749,1424.05370020714
"49378","ENSG00000275091",26.4681989662714,1.47402088135863,0.0189333001459099,207,205,304,103,63,75,199.694677634616,189.904851002422,312.401740679598,112.619582033785,69.7240566892562,64.5731726212427
"49567","ENSG00000272948",26.2744983849584,-1.57398142285075,0.0156644129255212,91,91,139,5,2,5,87.7884814722226,84.2992265425385,142.841585376527,5.46697000164004,2.21346211711925,4.30487817474951
"49578","ENSG00000250397",25.9864267631639,1.58211368041464,0.0165016061210977,34,31,32,11,7,14,32.8000919786326,28.7173189320736,32.8843937557471,12.0273340036081,7.74711740991736,12.0536588892986
"49690","ENSG00000182676",25.9366196044299,2.80662056034261,1.79629179180142e-05,115,120,198,4,8,10,110.941487574787,111.16381522093,203.472186363685,4.37357600131203,8.85384846847698,8.60975634949902
"49841","ENSG00000260633",25.9087111750307,3.32996324377872,5.13561822700173e-07,130,112,140,50,34,71,125.412116388889,103.752894206201,143.869222681394,54.6697000164004,37.6288559910272,61.1292700814431
"49888","ENSG00000197540",25.44599495894,1.78989466812745,0.00411581431589248,37,40,79,20,15,17,35.6942177414532,37.0546050736433,81.1833470845007,21.8678800065602,16.6009658783943,14.6365857941483
"49937","ENSG00000111834",25.3972313414,1.49806462403923,0.0216306211806793,137,132,184,29,67,78,132.165076502137,122.280196743023,189.085264095546,31.7084260095122,74.1509809234947,67.1560995260924
"50164","ENSG00000279320",25.2393755909906,2.5490953532265,4.40425651714766e-05,967,837,1048,204,451,528,932.873204215816,775.367611165986,1076.96389550072,223.052376066914,499.13570741039,454.595135253548
"50177","ENSG00000254665",25.2064182924691,2.86278737323889,9.42634126897381e-06,203,169,286,4,2,5,195.835843284189,156.555706436143,293.90426919199,4.37357600131203,2.21346211711925,4.30487817474951
"50218","ENSG00000272735",25.1856263997703,-1.3881012173749,0.0435296017843851,25,27,26,9,5,6,24.117714690171,25.0118584247092,26.7185699265445,9.84054600295207,5.53365529279811,5.16585380969941
"50235","ENSG00000224221",25.1519886954731,1.60114284457951,0.0206403148481642,21,32,16,67,37,55,20.2588803397437,29.6436840589146,16.4421968778736,73.2573980219765,40.949049166706,47.3536599222446
"50364","ENSG00000187944",25.0948665068994,2.46737304677108,6.67970294128521e-05,70,89,84,21,14,36,67.5296011324789,82.4464962888563,86.3215336088362,22.9612740068882,15.4942348198347,30.9951228581965
"50365","ENSG00000230825",24.9951193148916,2.07093968801348,0.00093532265365151,9,10,38,0,0,0,8.68237728846158,9.26365126841082,39.0502175849497,0,0,0
"50462","ENSG00000184697",24.9811099278191,1.9239700196976,0.0022340478998414,93,106,79,34,33,49,89.7178986474363,98.1947034451547,81.1833470845007,37.1753960111523,36.5221249324675,42.1878061125452
"50583","ENSG00000288770",24.8845899317242,-1.73181348823663,0.0107325211074168,24,37,57,1,3,5,23.1530061025642,34.27550969312,58.5753263774246,1.09339400032801,3.32019317567887,4.30487817474951
"50609","ENSG00000240583",24.8496305532936,1.44051307373734,0.0311380095393466,15,25,15,37,36,52,14.4706288141026,23.1591281710271,15.4145595730065,40.4555780121363,39.8423181081464,44.7707330173949
"50816","ENSG00000279838",24.6069488581109,1.47553990350141,0.0355288848640521,40,58,51,72,100,135,38.5883435042737,53.7291773567828,52.409502548222,78.7243680236165,110.673105855962,116.231710718237
"51060","ENSG00000213453",24.2585563892806,1.8631917288834,0.00310566749714956,86,91,94,19,45,63,82.9649385341884,84.2992265425385,96.5979066575072,20.7744860062321,49.802897635183,54.2414650018438
"51298","ENSG00000177238",23.7885441329996,3.90011758636612,2.13570204723982e-07,35,17,33,7,7,7,33.7648005662395,15.7482071562984,33.9120310606142,7.65375800229605,7.74711740991736,6.02682944464931
"51329","ENSG00000110876",23.7773467939341,2.50242522577727,0.000160078131581546,100,114,90,36,30,66,96.4708587606842,105.605624459883,92.4873574380388,39.3621840118083,33.2019317567887,56.8243919066935
"51363","ENSG00000188508",23.6672226649237,1.41451956694529,0.0372215464255994,30,52,28,51,74,105,28.9412576282053,48.1709865957363,28.7738445362787,55.7630940167284,81.8980983334121,90.4024416697397
"51393","ENSG00000273148",23.6429821452083,-1.50632643303161,0.0266502703310958,117,116,93,213,170,251,112.870904750001,107.458354713566,95.5702693526401,232.892922069866,188.144279955136,216.104884372425
"51487","ENSG00000279518",22.9388235567096,2.44214470208851,0.000577498639717535,60,59,61,149,91,138,57.8825152564105,54.6555424836239,62.685875596893,162.915706048873,100.712526328926,118.814637623086
"51540","ENSG00000260948",22.8172466088497,2.02729431161684,0.00246458116209482,11,9,16,0,1,0,10.6117944636753,8.33728614156974,16.4421968778736,0,1.10673105855962,0
"51576","ENSG00000287507",21.9522671396159,2.41700620627153,0.00045782882467472,92,118,86,23,25,40,88.7531900598295,109.311084967248,88.3768082185704,25.1480620075442,27.6682764639906,34.4390253979961
"51579","ENSG00000246130",21.7053949197969,1.86200770956508,0.0208905206269637,45,61,55,22,11,24,43.4118864423079,56.508272737306,56.5200517676904,24.0546680072162,12.1740416441558,20.6634152387977
"51617","ENSG00000137875",21.7018301090576,2.23833830530377,0.00107659312046554,58,86,63,28,17,29,55.9530980811968,79.6674009083331,64.7411502066272,30.6150320091842,18.8144279955136,24.9682934135472
"51715","ENSG00000229893",21.6136979398497,1.64546874514826,0.0183523302384744,202,210,202,58,83,94,194.871134696582,194.536676636627,207.582735583154,63.4168520190244,91.8586778604487,80.9317096852908
"51755","ENSG00000196189",21.4849059633209,3.16927639060802,6.14547981545593e-05,194,240,227,69,98,120,187.153465995727,222.32763044186,233.273668204831,75.4441860226325,108.459643738843,103.317076193988
"51837","ENSG00000101306",21.2884053403899,1.66664410368604,0.0208085115647257,14,13,16,34,23,54,13.5059202264958,12.0427466489341,16.4421968778736,37.1753960111523,25.4548143468713,46.4926842872947
"51927","ENSG00000279384",21.2301243136499,2.00409751334157,0.00304035272263675,835,913,698,349,303,318,805.531670651713,845.771360805908,717.290838797234,381.594506114475,335.339510743566,273.790251914069
"51958","ENSG00000267938",21.0383191615462,1.55982755936344,0.0286461713417725,14,14,13,28,29,64,13.5059202264958,12.9691117757752,13.3592849632723,30.6150320091842,32.0952006982291,55.1024406367937
"51970","ENSG00000270589",20.7870512539775,3.69344681235712,5.23475521525446e-06,25,39,26,69,53,66,24.117714690171,36.1282399468022,26.7185699265445,75.4441860226325,58.65674610366,56.8243919066935
"51992","ENSG00000204421",20.7664260627353,3.07471829170937,4.38678737265719e-05,21,20,17,74,64,102,20.2588803397437,18.5273025368216,17.4698341827407,80.9111560242726,70.8307877478158,87.81951476489
"52018","ENSG00000231194",20.5703151745157,3.83811808170023,1.14510663847351e-06,54,46,47,19,11,18,52.0942637307695,42.6127958346898,48.2989533287536,20.7744860062321,12.1740416441558,15.4975614290982
"52069","ENSG00000279608",20.5388660192113,2.4355164692654,0.000525554951438982,13,12,13,23,37,45,12.5412116388889,11.116381522093,13.3592849632723,25.1480620075442,40.949049166706,38.7439035727456
"52152","ENSG00000286119",20.1729285182863,5.2636355860636,3.55064197611421e-06,42,38,23,64,56,99,40.5177606794874,35.2018748199611,23.6356580119432,69.9772160209925,61.9769392793389,85.2365878600403
"52221","ENSG00000087589",19.9756064541184,1.64152573304511,0.0297026914408914,463,408,446,203,197,212,446.660076061968,377.956971751162,458.326237970726,221.958982066586,218.026018536246,182.526834609379
"52225","ENSG00000262074",19.5363376143305,5.82137122277967,1.82013758625801e-05,64,76,62,12,28,32,61.7413496068379,70.4037496399223,63.7135129017601,13.1207280039361,30.9884696396694,27.5512203183969
"52250","ENSG00000205177",19.4638992949654,2.42130149128527,0.000605350837141426,18,36,36,1,7,5,17.3647545769232,33.349144566279,36.9949429752155,1.09339400032801,7.74711740991736,4.30487817474951
"52309","ENSG00000257225",19.4564155483236,2.9812318587474,0.000109621408324595,293,321,369,15,15,24,282.659616168805,297.363205715987,379.198165495959,16.4009100049201,16.6009658783943,20.6634152387977
"52347","ENSG00000235072",19.3400005858382,1.72447697618959,0.0183523302384744,24,23,20,5,4,8,23.1530061025642,21.3063979173449,20.552746097342,5.46697000164004,4.42692423423849,6.88780507959922
"52420","ENSG00000105641",19.3301002659391,3.03795739714846,0.000988668633353272,65,64,56,114,131,151,62.7060581944447,59.2873681178293,57.5476890725575,124.646916037393,144.981768671311,130.007320877435
"52451","ENSG00000234329",19.2924415674053,1.55121588900821,0.0482750239030362,61,59,50,99,115,130,58.8472238440174,54.6555424836239,51.3818652433549,108.246006032473,127.274071734357,111.926832543487
"52552","ENSG00000009724",18.9190144594748,1.76958271438878,0.0226401777278361,50,63,48,8,10,18,48.2354293803421,58.3610029909882,49.3265906336207,8.74715200262406,11.0673105855962,15.4975614290982
"52562","ENSG00000233760",18.7830928108782,2.09815462482806,0.0102185882288511,154,155,107,248,220,343,148.565122491454,143.586594660368,109.957191620779,271.161712081346,243.480832883117,295.314642787816
"53059","ENSG00000006283",18.7500322883266,1.67351061459149,0.0472829872895862,34,42,44,13,11,18,32.8000919786326,38.9073353273255,45.2160414141523,14.2141220042641,12.1740416441558,15.4975614290982
"53287","ENSG00000263050",18.580190987058,5.18017349185161,6.58123764697832e-06,20,22,33,48,61,83,19.2941717521368,20.3800327905038,33.9120310606142,52.4829120157444,67.510594572137,71.4609777008419
"53363","ENSG00000267397",18.2064511959931,2.45934068499719,0.000957295275530085,24,26,18,2,2,8,23.1530061025642,24.0854932978681,18.4974714876078,2.18678800065602,2.21346211711925,6.88780507959922
"53405","ENSG00000278737",18.0203460167833,3.13776638479298,0.00014834209019328,28,15,31,57,46,72,27.0118404529916,13.8954769026162,31.85675645088,62.3234580186964,50.9096286937426,61.990245716393
"53453","ENSG00000261096",17.8966406850348,2.07228761629094,0.00851337581942578,13,7,17,0,1,2,12.5412116388889,6.48455588788758,17.4698341827407,0,1.10673105855962,1.7219512698998
"53505","ENSG00000247982",17.6186820967527,2.0479615302793,0.0129466120551256,1138,1081,848,271,289,314,1097.83837269659,1001.40070211521,871.436434527299,296.30977408889,319.845275923731,270.346349374269
"53506","ENSG00000105371",17.5979589342699,2.68984458784067,0.000585733609976166,52,44,34,81,56,127,50.1648465555558,40.7600655810076,34.9396683654813,88.5649140265686,61.9769392793389,109.343905638638
"53872","ENSG00000271725",17.4754572733358,1.96719088027782,0.0157793763219903,95,68,66,32,24,46,91.64731582265,62.9928286251936,67.8240621212285,34.9886080104962,26.5615454054309,39.6048792076955
"53994","ENSG00000236194",17.3950730697552,1.99791845729655,0.00848148669864596,61,60,51,6,19,36,58.8472238440174,55.5819076104649,52.409502548222,6.56036400196805,21.0278901126328,30.9951228581965
"54127","ENSG00000120471",17.0595984813255,4.59967562626068,1.40294652483305e-05,245,287,277,547,452,609,236.353603963676,265.866791403391,284.655533448186,598.08651817942,500.242438468949,524.33416168449
"54235","ENSG00000273483",16.8090386172354,2.74097065048034,0.00120291544798889,220,248,295,68,124,161,212.235889273505,229.738551456588,303.153004935794,74.3507920223045,137.234651261393,138.617077226934
"54433","ENSG00000125998",16.6548459192253,3.04559431195243,0.000174810622798731,58,90,107,30,40,49,55.9530980811968,83.3728614156974,109.957191620779,32.8018200098402,44.2692423423849,42.1878061125452
"54593","ENSG00000269937",16.0646996911457,1.89831429801055,0.0206072727131827,38,54,106,18,17,31,36.65892632906,50.0237168494184,108.929554315912,19.6810920059041,18.8144279955136,26.690244683447
"54670","ENSG00000171522",15.4917678348435,2.01577996015502,0.0273188271335676,14,27,17,41,34,57,13.5059202264958,25.0118584247092,17.4698341827407,44.8291540134483,37.6288559910272,49.0756111921444
"54864","ENSG00000213394",15.3419060035742,4.10902183057429,6.68942571502565e-05,29,27,43,0,6,5,27.9765490405984,25.0118584247092,44.1884041092852,0,6.64038635135774,4.30487817474951
"54911","ENSG00000261026",15.2038669722216,9.66725561924069,0.00988060044335156,242,269,236,564,388,488,233.459478200856,249.192219120251,242.522403948635,616.674216184996,429.411650721134,420.156109855552
"55058","ENSG00000174460",14.8756398858338,2.64826626679859,0.00154059260963583,7,4,28,0,0,1,6.75296011324789,3.70546050736433,28.7738445362787,0,0,0.860975634949902
"55115","ENSG00000165863",14.8344178653623,3.30483427132721,0.000394009130202386,277,270,268,82,57,95,267.224278767095,250.118584247092,275.406797704382,89.6583080268966,63.0836703378985,81.7926853202407
