"Id","baseMean","log2foldchange.LLO.vs.Neg","BH.adjusted.p.values","LLO1_raw","LLO2_raw","LLO3_raw","Neg1_raw","Neg2_raw","Neg3_raw","LLO1_norm","LLO2_norm","LLO3_norm","Neg1_norm","Neg2_norm","Neg3_norm"
"6135","ENSG00000075618",1321.93207025714,1.18054383235221,3.78564644019767e-06,40,41,78,14,23,21,38.5883435042737,37.9809702004844,80.1557097796336,15.3075160045921,25.4548143468713,18.0804883339479
"6163","ENSG00000036672",1202.47347269859,1.14390910539745,4.15843477716314e-11,1268,924,1164,4,10,6,1223.25048908548,855.96137720116,1196.1698228653,4.37357600131203,11.0673105855962,5.16585380969941
"6173","ENSG00000183508",1179.47843225312,4.64284840261419,4.08686112257422e-97,127,142,112,37,52,67,122.517990626069,131.543848011434,115.095378145115,40.4555780121363,57.5500150451004,57.6853675416434
"6239","ENSG00000135245",1116.00614165895,-1.177206860839,1.7008732197517e-06,75,60,71,25,32,40,72.3531440705132,55.5819076104649,72.9622486455639,27.3348500082002,35.4153938739079,34.4390253979961
"6451","ENSG00000265972",1062.12142861061,-2.50951657145185,1.40051255017934e-22,268,299,335,41,41,80,258.541901478634,276.983172925484,344.258497130478,44.8291540134483,45.3759734009445,68.8780507959922
"6599","ENSG00000172602",1026.64235890287,1.49038874666967,1.53082861679959e-08,10919,9593,8786,3753,4147,4205,10533.6530680791,8886.6206617865,9028.82136056232,4103.50768323101,4589.61369984675,3620.40254496434
"6662","ENSG00000118523",956.950007007265,2.64533817152636,1.21594738983399e-57,422,482,346,830,881,1069,407.107023970087,446.507991137402,355.562507484016,907.517020272246,975.030062591028,920.382953761445
"6873","ENSG00000166289",921.378859569837,-1.02984357928289,7.24284930190812e-06,18590,20863,14597,5776,10526,9151,17933.9326436112,19326.7556412855,15000.421739145,6315.44374589457,11649.4511223986,7878.78803542655
"6913","ENSG00000168140",883.611601495407,1.29514306013498,6.173882641444e-10,13031,14360,8770,4588,5020,6035,12571.1176051048,13302.6032214379,9012.37916368445,5016.4916735049,5555.78991396931,5195.98795692266
"7031","ENSG00000142178",869.000838871751,2.19437020058325,6.00718479393824e-37,807,692,616,1884,1239,1408,778.519830198721,641.044667774029,633.024579798132,2059.95429661797,1371.23978155537,1212.25369400946
"7067","ENSG00000125266",852.217018971192,1.53049630557978,5.24513817120769e-19,429,407,395,86,181,202,413.859984083335,377.030606624321,405.916735422504,94.0318840282087,200.318321599292,173.91707825988
"7116","ENSG00000176125",797.791089166208,-1.05104667142391,5.30259727539509e-06,386,284,297,78,64,67,372.377514816241,263.087696022867,305.208279545528,85.2847320255846,70.8307877478158,57.6853675416434
"7221","ENSG00000162396",701.418589880411,-1.8150115816352,7.6314177277426e-20,122,94,70,169,262,143,117.694447688035,87.0783219230617,71.9346113406968,184.783586055433,289.963537342621,123.119515797836
"7268","ENSG00000132825",668.684593202704,-1.21214340278997,1.15007840028554e-10,51,50,57,20,23,17,49.2001379679489,46.3182563420541,58.5753263774246,21.8678800065602,25.4548143468713,14.6365857941483
"7338","ENSG00000119508",666.974859336377,4.49744128495419,3.93043927131214e-93,9543,9320,7830,2173,2240,2473,9206.21405153209,8633.72298215889,8046.40009710938,2375.94516271276,2479.07757117355,2129.19274523111
"7557","ENSG00000269821",660.331321602229,1.24184901454041,5.18067089122334e-05,29,34,47,5,6,12,27.9765490405984,31.4964143125968,48.2989533287536,5.46697000164004,6.64038635135774,10.3317076193988
"7748","ENSG00000164949",647.49769382782,4.24850649560669,1.0302247795181e-72,63,102,45,6,1,2,60.7766410192311,94.4892429377904,46.2436787190194,6.56036400196805,1.10673105855962,1.7219512698998
"7803","ENSG00000275993",642.862818120998,1.74625614144161,1.13560931472216e-20,2850,2958,2338,517,515,756,2749.4194746795,2740.18804519592,2402.61601877927,565.28469816958,569.966495158206,650.897580022126
"7848","ENSG00000160588",634.421662597848,1.60566708166423,1.25444061284228e-19,112,149,93,24,49,27,108.047361811966,138.028403899321,95.5702693526401,26.2414560078722,54.2298218694215,23.2463421436474
"8148","ENSG00000088727",625.987847903511,1.31887837013733,2.99984806246183e-11,339,363,323,777,618,807,327.036211198719,336.270541043313,331.926849472073,849.567138254862,683.959794189847,694.807337404571
"8155","ENSG00000204839",589.214486937368,1.24269791768136,4.48916199861385e-09,4249,5648,3602,1592,2520,2213,4099.04678874147,5232.11023639843,3701.54957213129,1740.68324852219,2788.96226757025,1905.33908014413
"8200","ENSG00000272899",559.886356504494,1.26001729488994,1.60660624979508e-09,1584,1582,1251,263,297,370,1528.09840276924,1465.50963066259,1285.57426838874,287.562622086266,328.699124392208,318.560984931464
"8218","ENSG00000176401",556.004380936008,-1.08092651939658,6.45658101184604e-05,55,65,40,4,20,13,53.0589723183763,60.2137332446704,41.1054921946839,4.37357600131203,22.1346211711925,11.1926832543487
"8338","ENSG00000129654",549.331404924758,7.33988597985361,8.18435457702889e-80,131,139,101,322,285,305,126.376824976496,128.76475263091,103.791367791577,352.072868105618,315.418351689492,262.59756865972
"8356","ENSG00000260274",545.024699097441,-1.11113151595192,1.0955838829943e-06,134,119,187,24,22,31,129.270950739317,110.237450094089,192.168176010147,26.2414560078722,24.3480832883117,26.690244683447
"8379","ENSG00000141642",537.261311927231,-1.16239136231606,3.98851241425752e-09,243,258,237,57,124,149,234.424186788463,239.002202724999,243.550041253502,62.3234580186964,137.234651261393,128.285369607535
"8439","ENSG00000249709",526.47822693727,-1.36720123072024,1.08926923458934e-11,79,100,115,8,6,11,76.2119784209405,92.6365126841082,118.178290059716,8.74715200262406,6.64038635135774,9.47073198444892
"8568","ENSG00000285796",525.501335853072,-1.07436869774082,1.66155845233957e-07,115,104,126,41,38,67,110.941487574787,96.3419731914726,129.482300413254,44.8291540134483,42.0557802252657,57.6853675416434
"8593","ENSG00000179922",482.74098679905,-1.00992605079385,3.4178060777406e-05,12091,10314,9858,2942,2795,2663,11664.2915327543,9554.52991823892,10130.4485513798,3216.765148965,3093.31330867414,2292.77811587159
"8622","ENSG00000178053",475.775906450601,1.16651495484544,1.10960790119602e-08,9,11,18,2,1,1,8.68237728846158,10.1900163952519,18.4974714876078,2.18678800065602,1.10673105855962,0.860975634949902
"8936","ENSG00000181773",475.384518890668,1.18406097167852,9.22920125281054e-10,136,146,106,20,38,47,131.200367914531,135.249308518798,108.929554315912,21.8678800065602,42.0557802252657,40.4658548426454
"9073","ENSG00000162757",433.259767277211,-1.38780937939124,2.75482936633426e-12,13151,13777,11620,5670,4742,4870,12686.8826356176,12762.5323524896,11941.1454825557,6199.5439818598,5248.11867968973,4192.95134220602
"9633","ENSG00000185670",433.106257802422,-1.35905000092019,1.29483643135817e-10,2727,2551,2563,212,337,369,2630.76031840386,2363.1574385716,2633.83441237437,231.799528069538,372.968366734593,317.700009296514
"9739","ENSG00000188766",420.996240397784,1.0251585600209,3.03073141744953e-05,170,167,261,67,62,100,164.000459893163,154.702976182461,268.213336570313,73.2573980219765,68.6173256306966,86.0975634949902
"9766","ENSG00000277283",401.589841191352,-1.04427260044923,9.83679432532754e-07,92,93,57,6,16,14,88.7531900598295,86.1519567962207,58.5753263774246,6.56036400196805,17.707696936954,12.0536588892986
"10095","ENSG00000102760",385.11188965486,1.4533109527204,5.77333756510869e-10,124,130,111,288,238,387,119.623864863248,120.427466489341,114.067740840248,314.897472094466,263.40199193719,333.197570725612
"10418","ENSG00000108551",380.315871861401,4.2017648789178,1.5909986327662e-09,157,179,216,62,75,107,151.459248254274,165.819357704554,221.969657851293,67.7904280203365,83.0048293919717,92.1243929396395
"10498","ENSG00000212498",371.765928758068,1.04402654152483,2.85530434038964e-06,985,1066,902,270,312,350,950.237958792739,987.505225212594,926.928848990122,295.216380088562,345.300090270602,301.341472232466
"10545","ENSG00000162004",368.145857543154,1.31552660831603,1.33082529192416e-05,25284,22918,29137,10450,8282,9455,24391.6919290514,21230.4359769439,29942.2681519126,11425.9673034277,9165.9466269908,8140.52462845132
"10551","ENSG00000278834",365.236013005237,-1.0145920592257,4.51981595420701e-05,17,27,24,4,3,5,16.4000459893163,25.0118584247092,24.6632953168103,4.37357600131203,3.32019317567887,4.30487817474951
"10662","ENSG00000103044",346.223958412906,1.35044907830021,7.87001844188198e-10,422,456,727,202,150,285,407.107023970087,422.422497839534,747.09232063838,220.865588066258,166.009658783943,245.378055960722
"10714","ENSG00000219891",344.139585329149,1.23713480265841,6.84099627991786e-05,378,303,278,1134,990,1094,364.659846115386,280.688633432848,285.683170753053,1239.90879637196,1095.66374797403,941.907344635193
